Rooms,Type,Price,Date,Distance,Postcode,Bathroom,Car,Landsize,BuildingArea,YearBuilt
2,h,399000,7/5/16,8.7,3032,1,1.0,904,53.0,1985.0
3,h,1241000,28/08/2016,13.9,3165,1,1.0,643,,
2,u,550000,8/7/17,3.0,3067,1,1.0,1521,,
3,u,691000,24/06/2017,8.4,3072,1,1.0,170,,
2,u,657500,19/11/2016,4.6,3122,1,1.0,728,73.0,1965.0
2,u,520000,8/7/17,23.2,3153,1,1.0,158,69.0,1975.0
2,u,520000,27/06/2016,6.3,3143,1,1.0,0,76.0,1970.0
2,u,676000,6/5/17,5.8,3078,1,1.0,0,87.0,2002.0
4,u,990000,7/5/16,1.2,3006,3,1.0,0,172.0,1995.0
2,u,495000,6/5/17,7.8,3058,1,0.0,388,69.0,1960.0
2,u,590000,20/05/2017,7.8,3058,1,1.0,79,,
4,h,1245000,26/08/2017,16.7,3150,2,2.0,652,,1981.0
1,u,375000,17/06/2017,5.3,3122,1,1.0,0,53.0,1970.0
2,u,800000,7/5/16,5.1,3181,1,1.0,0,92.0,1930.0
3,u,488000,13/05/2017,12.4,3083,1,1.0,260,150.0,1961.0
2,t,860000,10/12/16,9.2,3104,2,2.0,204,,
1,u,520000,8/7/17,5.4,3101,1,1.0,0,,
2,u,782000,4/3/17,7.0,3013,1,1.0,1555,92.0,2013.0
3,h,740000,27/05/2017,38.0,3199,1,1.0,650,,
2,u,666000,29/07/2017,2.4,3121,1,1.0,0,60.0,
4,h,410500,24/06/2017,47.3,3810,2,2.0,425,,
2,t,750000,7/5/16,4.2,3031,1,1.0,325,112.0,2002.0
2,u,830000,4/6/16,9.0,3126,1,1.0,110,83.0,1960.0
2,h,951000,25/02/2017,7.0,3013,1,3.0,486,,
1,u,895000,22/07/2017,1.3,3002,1,1.0,0,60.0,1990.0
4,h,1322000,14/05/2016,6.9,3039,1,1.0,549,192.0,1930.0
2,h,695000,17/06/2017,11.4,3204,1,1.0,126,75.45,1970.0
3,t,420000,9/9/17,25.5,3750,2,2.0,167,,
2,h,1120000,14/05/2016,8.4,3015,1,3.0,574,,
2,u,390000,1/7/17,25.5,3750,1,1.0,197,,
4,h,981000,19/08/2017,11.7,3033,2,2.0,633,,
2,u,770000,7/11/16,11.2,3127,1,1.0,156,,1960.0
3,u,1045000,4/3/17,12.2,3147,2,2.0,467,,
3,h,629500,29/07/2017,11.2,3046,1,1.0,610,,
3,t,955000,11/2/17,5.2,3056,2,2.0,327,110.0,2007.0
3,t,960000,27/05/2017,16.2,3094,2,2.0,397,,2003.0
4,h,1630000,9/9/17,21.5,3195,2,2.0,554,,
2,t,771000,8/7/17,13.8,3188,1,1.0,0,99.0,1992.0
3,h,1200000,8/4/17,5.2,3056,1,1.0,318,,1927.0
3,h,612500,15/10/2016,13.0,3046,2,3.0,635,,
4,h,723000,16/09/2017,18.4,3029,2,2.0,872,,
3,h,1900000,6/8/16,11.2,3186,0,0.0,0,,
3,h,711000,14/05/2016,14.9,3087,1,2.0,658,,
3,u,798000,15/10/2016,8.8,3072,2,2.0,212,,2005.0
3,u,648000,29/04/2017,11.5,3046,1,1.0,0,94.0,1998.0
3,t,965000,24/09/2016,13.9,3165,2,1.0,283,28.0,2010.0
2,u,540000,15/07/2017,7.3,3146,1,1.0,0,77.0,1960.0
3,h,927000,12/6/16,7.7,3015,1,0.0,274,131.0,1910.0
3,t,755000,27/05/2017,8.5,3044,1,2.0,234,,1993.0
2,u,507000,3/6/17,7.5,3040,1,1.0,0,80.0,1960.0
3,h,1220000,28/08/2016,4.5,3181,2,1.0,112,100.0,1900.0
3,t,920000,29/07/2017,14.3,3189,2,2.0,230,,
2,u,692000,7/5/16,1.6,3065,1,1.0,0,,
2,u,495000,13/08/2016,3.4,3068,1,1.0,515,50.0,1970.0
2,u,569000,11/3/17,1.2,3006,2,1.0,3878,,2012.0
3,h,657500,7/5/16,12.6,3020,1,1.0,513,116.0,1955.0
3,t,840000,15/10/2016,11.2,3042,2,2.0,374,180.0,1990.0
2,u,656000,22/07/2017,16.7,3150,1,1.0,345,120.0,2012.0
3,u,590000,24/06/2017,31.2,3197,1,1.0,179,,
2,u,479000,4/3/17,2.6,3121,1,1.0,534,,1970.0
3,h,650000,16/04/2016,11.2,3073,1,2.0,468,92.0,1960.0
2,t,779000,17/09/2016,7.9,3079,1,2.0,152,,1970.0
2,u,625500,26/08/2017,12.0,3073,1,2.0,343,111.0,1960.0
4,h,505000,3/9/17,20.6,3064,2,2.0,406,,
3,t,865000,13/05/2017,6.5,3071,2,2.0,194,,2000.0
4,h,1540000,27/05/2017,10.1,3163,2,2.0,589,199.0,1920.0
2,u,845000,22/08/2016,7.9,3079,2,2.0,147,,1980.0
4,h,1825000,6/5/17,3.4,3068,1,2.0,306,,
2,u,598000,25/02/2017,6.3,3143,1,1.0,0,88.0,1970.0
2,u,560000,25/02/2017,2.3,3051,1,1.0,2300,68.0,1975.0
3,h,950000,3/9/17,16.7,3150,2,3.0,654,,
1,u,345000,7/11/16,2.6,3121,1,0.0,0,,1970.0
5,h,1475000,8/7/17,12.3,3166,2,3.0,548,157.0,1920.0
2,u,799000,27/05/2017,1.8,3051,1,1.0,0,73.0,1900.0
3,h,860000,27/05/2017,12.0,3073,1,2.0,627,136.0,1950.0
1,u,452000,10/12/16,9.2,3146,1,1.0,63,52.0,1980.0
3,h,725000,3/6/17,8.4,3072,1,2.0,590,94.0,1950.0
3,u,577000,23/04/2016,13.8,3018,2,1.0,205,113.0,2007.0
4,h,826000,3/9/16,9.2,3012,2,2.0,308,185.0,2012.0
3,t,730000,7/11/16,8.7,3032,1,2.0,250,132.0,2000.0
3,u,690000,15/10/2016,14.0,3166,1,2.0,340,103.0,1930.0
3,u,1000000,1/7/17,5.3,3122,1,1.0,1079,90.0,1940.0
3,h,560000,22/07/2017,24.7,3175,1,2.0,630,,
4,h,1685000,9/9/17,5.3,3070,1,1.0,442,112.0,1920.0
2,u,825000,8/10/16,12.1,3163,1,1.0,0,86.0,
2,u,645000,13/05/2017,4.5,3181,1,1.0,2842,84.0,1920.0
2,u,630000,3/6/17,5.4,3101,1,1.0,1037,,1960.0
2,u,566000,18/06/2016,8.7,3032,2,1.0,3014,80.0,2012.0
2,u,595000,7/11/16,2.1,3205,1,1.0,0,76.0,2004.0
4,h,2525000,8/4/17,14.0,3166,2,0.0,1143,,
3,h,1150000,26/07/2016,8.0,3040,1,0.0,300,145.0,1900.0
2,t,705000,18/06/2016,5.9,3032,2,1.0,113,,1998.0
1,u,330000,3/6/17,10.1,3163,1,1.0,0,,
3,t,1582000,25/02/2017,2.6,3121,3,2.0,119,184.0,2005.0
2,u,616000,16/07/2016,13.1,3128,1,1.0,155,,
3,h,770000,24/06/2017,20.8,3171,1,1.0,606,,
2,u,466000,25/02/2017,6.5,3071,1,1.0,909,,
4,h,950000,15/07/2017,25.0,3155,2,4.0,2033,255.0,1970.0
3,h,500000,10/9/16,13.0,3046,1,1.0,589,,
3,h,1420000,8/4/17,4.1,3206,1,0.0,112,,
2,u,601000,27/05/2017,17.9,3192,1,1.0,1078,94.0,1972.0
3,u,622000,15/07/2017,14.7,3152,1,1.0,137,71.0,2012.0
1,u,422000,3/6/17,0.7,3006,1,1.0,63,51.0,2010.0
3,t,1250000,10/9/16,11.8,3204,2,2.0,326,188.0,2000.0
3,h,710000,13/05/2017,13.0,3046,1,2.0,587,,
4,t,1320000,27/11/2016,13.0,3204,3,3.0,346,220.0,2010.0
3,h,847000,20/05/2017,6.6,3011,1,1.0,205,,
4,t,710000,8/7/17,11.7,3033,2,1.0,330,,
4,h,626800,7/11/16,13.3,3020,1,2.0,581,130.0,1950.0
3,h,1340000,10/9/16,13.0,3204,2,1.0,526,135.0,1910.0
4,h,1810000,28/05/2016,13.9,3108,2,4.0,769,240.0,1970.0
2,u,482000,29/04/2017,6.1,3182,1,1.0,0,54.0,2004.0
1,u,440000,29/04/2017,6.6,3183,1,0.0,0,,1940.0
3,t,538000,22/05/2016,12.4,3060,2,2.0,217,,
2,u,445000,22/07/2017,22.7,3174,1,3.0,197,82.0,1998.0
3,h,1509000,28/05/2016,13.8,3107,2,2.0,812,158.0,1960.0
3,t,800000,12/11/16,5.6,3101,2,2.0,848,97.0,1970.0
4,h,1635000,8/7/17,15.5,3106,3,2.0,896,215.0,1985.0
3,t,922000,9/9/17,10.1,3163,2,2.0,219,,
3,h,490000,29/07/2017,20.6,3064,2,2.0,400,143.0,1996.0
2,u,650000,16/07/2016,5.1,3181,2,1.0,0,,
3,u,660000,27/05/2017,5.4,3101,1,1.0,1096,,
3,h,1170000,12/8/17,10.4,3125,1,3.0,590,,
3,h,1225000,12/11/16,14.0,3166,1,2.0,553,,
3,h,853000,8/10/16,6.4,3011,1,1.0,0,141.0,2010.0
3,u,800000,28/05/2016,13.9,3165,2,2.0,261,,
2,h,435000,6/8/16,13.3,3020,1,4.0,343,81.0,1960.0
2,u,558000,22/08/2016,7.8,3124,1,1.0,0,,
3,h,2000000,15/10/2016,2.1,3205,2,1.0,161,141.0,1890.0
2,u,950000,10/12/16,11.8,3204,1,1.0,0,,
3,h,1360000,19/11/2016,11.4,3163,2,2.0,282,182.0,2010.0
3,u,487500,27/06/2016,5.9,3032,1,3.0,0,,1972.0
3,u,960000,15/07/2017,11.7,3148,2,2.0,382,151.0,2000.0
3,h,1001000,16/07/2016,6.6,3011,1,1.0,256,,
2,u,480000,3/6/17,7.2,3184,1,1.0,1210,65.0,1968.0
4,t,1200000,29/07/2017,16.0,3190,2,2.0,304,183.0,2007.0
2,u,415000,15/10/2016,8.0,3016,1,1.0,0,,
3,t,881000,19/08/2017,20.0,3194,2,1.0,332,,
4,h,865000,3/12/16,11.5,3046,1,2.0,696,160.0,1955.0
3,h,875000,8/4/17,9.2,3058,1,1.0,592,,
1,u,316000,20/05/2017,6.4,3078,1,1.0,0,,
3,t,998000,8/4/17,13.0,3166,2,2.0,246,,2000.0
3,t,1115000,4/3/17,13.9,3165,2,2.0,297,,
2,u,691000,15/10/2016,2.6,3121,2,1.0,0,85.0,2008.0
4,h,1926000,17/06/2017,9.7,3104,2,2.0,639,,
3,t,1260000,27/06/2016,7.5,3102,2,2.0,284,,1990.0
3,h,1110000,10/12/16,13.9,3165,1,4.0,612,,
3,u,485000,29/07/2017,18.0,3037,2,2.0,345,,2005.0
3,t,714000,10/12/16,6.4,3011,2,2.0,164,3.0,2008.0
3,h,1307000,13/08/2016,13.9,3165,2,4.0,684,,
2,u,592500,10/12/16,6.3,3143,1,1.0,0,73.0,1970.0
3,h,607500,18/06/2016,12.6,3020,1,2.0,487,,
3,h,1300000,8/4/17,9.1,3040,3,2.0,240,240.0,2013.0
2,u,442000,7/5/16,9.1,3040,1,1.0,0,,
3,h,580000,26/08/2017,14.8,3023,2,2.0,461,174.0,2000.0
2,h,460000,27/11/2016,12.1,3046,1,4.0,360,,
2,u,509000,3/9/16,6.1,3182,1,1.0,0,,
3,t,802000,15/07/2017,22.2,3172,2,2.0,251,185.0,1998.0
3,h,1400000,7/11/16,6.9,3039,2,2.0,597,,
4,h,2840000,10/9/16,10.7,3187,2,2.0,999,274.0,1972.0
2,u,681000,27/11/2016,4.5,3181,2,1.0,0,95.0,1995.0
4,h,1200000,8/4/17,8.8,3072,3,2.0,466,,
3,h,996000,27/05/2017,8.4,3072,1,2.0,581,,
2,u,600000,18/03/2017,12.2,3147,1,1.0,153,80.0,1970.0
3,h,1255000,15/10/2016,5.9,3032,2,2.0,308,,
4,h,2230000,10/9/16,8.0,3016,2,2.0,782,212.0,1900.0
4,h,650000,15/07/2017,22.7,3174,1,2.0,660,,
3,h,1160000,26/08/2017,5.2,3055,1,2.0,575,,
2,u,796000,22/07/2017,10.1,3163,1,2.0,0,86.0,1975.0
2,u,526000,10/9/16,9.7,3103,1,1.0,0,73.0,1960.0
2,u,455000,17/06/2017,20.0,3194,1,1.0,3160,,1970.0
3,u,537000,29/07/2017,39.0,3807,1,1.0,460,,
2,u,850000,22/04/2017,3.3,3141,2,2.0,17200,,2000.0
2,u,855000,12/11/16,13.0,3204,2,3.0,226,475.0,2005.0
3,h,837000,23/09/2017,27.0,3196,1,1.0,441,,
4,h,2110000,8/4/17,7.8,3124,1,3.0,572,150.0,1910.0
3,u,805000,3/6/17,2.7,3141,1,1.0,0,,1970.0
5,h,1188000,26/08/2017,23.0,3136,2,2.0,864,294.0,1980.0
4,h,870000,29/07/2017,35.4,3198,2,2.0,771,160.0,1965.0
4,t,975000,3/6/17,17.2,3133,2,2.0,0,207.0,2008.0
3,h,1510000,8/7/17,7.8,3079,1,2.0,670,,
2,u,422000,17/06/2017,11.2,3046,1,1.0,136,,1980.0
3,h,510000,22/07/2017,20.6,3064,2,2.0,523,,2000.0
3,h,1385000,27/05/2017,14.3,3109,2,3.0,654,149.0,1966.0
6,h,2620000,10/12/16,8.0,3040,4,2.0,860,355.0,1930.0
1,u,500500,4/3/17,4.5,3181,1,1.0,0,64.0,1945.0
2,u,506000,27/06/2016,9.1,3015,1,1.0,126,83.0,1975.0
3,h,1284000,4/3/17,5.9,3032,1,2.0,623,,1938.0
2,u,950000,22/04/2017,3.8,3207,2,1.0,98,,2005.0
2,u,816000,24/06/2017,3.5,3207,1,1.0,0,,2000.0
3,u,696000,15/07/2017,16.7,3168,1,2.0,259,,
2,h,1026000,3/9/16,5.2,3056,1,0.0,225,108.0,1905.0
2,u,724000,22/07/2017,27.0,3196,1,2.0,224,104.0,2000.0
3,t,702000,28/08/2016,11.7,3125,2,1.0,170,106.0,2001.0
3,h,1010000,4/3/17,7.8,3058,2,1.0,278,278.0,
4,h,1310000,27/06/2016,5.5,3070,2,1.0,355,,
4,h,1200000,16/07/2016,7.0,3013,2,2.0,417,157.0,1900.0
3,h,1435000,12/11/16,5.9,3032,2,2.0,532,147.0,1950.0
2,t,480000,8/7/17,23.0,3136,1,1.0,2040,,
4,h,1870000,12/8/17,5.1,3011,2,2.0,457,,
3,t,900500,27/11/2016,12.2,3147,2,2.0,256,134.0,2012.0
2,h,1400000,18/06/2016,11.2,3145,1,1.0,312,,
3,h,1316000,17/06/2017,13.8,3165,1,1.0,636,,1958.0
2,u,730000,12/8/17,14.2,3149,1,1.0,292,,
4,h,1325000,17/09/2016,13.8,3107,3,2.0,740,,
2,u,856500,19/11/2016,9.2,3146,1,1.0,0,,1960.0
3,h,1050000,25/02/2017,4.5,3181,2,1.0,8216,130.0,1995.0
3,h,1540000,12/8/17,3.5,3054,2,1.0,288,,
2,h,683000,29/07/2017,4.0,3057,1,1.0,0,91.0,1970.0
3,h,1061000,18/03/2017,7.8,3058,1,1.0,527,,
3,h,1160000,8/10/16,10.4,3163,1,2.0,553,137.0,1930.0
4,h,732000,24/06/2017,27.0,3196,2,2.0,536,202.0,1985.0
2,u,487500,8/10/16,6.1,3182,1,2.0,1676,,
2,u,444000,18/06/2016,7.5,3123,1,1.0,0,68.0,1970.0
2,u,778500,28/05/2016,11.2,3127,1,1.0,170,78.0,1960.0
3,h,1015000,13/05/2017,8.8,3072,2,1.0,511,,
2,u,898000,19/11/2016,13.7,3188,1,1.0,266,,1970.0
2,u,785000,24/09/2016,9.2,3146,1,1.0,0,,
4,h,1336000,26/07/2016,7.8,3012,2,1.0,343,109.0,1920.0
2,u,623000,10/9/16,13.0,3166,1,1.0,101,90.0,1970.0
3,u,542000,1/7/17,15.3,3074,2,2.0,213,,
2,t,735000,24/09/2016,5.9,3055,1,2.0,120,109.0,2004.0
3,h,860000,16/07/2016,11.4,3084,1,2.0,583,,
2,h,826000,16/07/2016,10.8,3019,1,2.0,667,,1950.0
1,u,435000,10/9/16,5.5,3070,1,2.0,0,55.0,1970.0
2,u,850000,3/6/17,17.9,3192,1,2.0,0,81.0,1970.0
3,t,920000,15/07/2017,16.1,3111,2,2.0,239,187.0,2007.0
3,h,595000,26/08/2017,19.6,3076,1,2.0,536,0.0,1980.0
3,h,1430000,11/2/17,6.5,3071,1,3.0,705,,
3,h,575000,17/09/2016,13.5,3020,1,2.0,686,,
2,u,566000,15/07/2017,4.3,3032,1,1.0,1017,,1972.0
3,u,1320000,6/5/17,3.3,3141,2,2.0,15,15.0,
2,u,795000,10/12/16,1.8,3053,2,1.0,0,,
3,t,1990000,22/04/2017,11.2,3186,2,2.0,0,189.0,1935.0
3,u,1457500,18/03/2017,13.7,3188,2,2.0,0,,
1,u,492000,4/3/17,4.6,3122,1,1.0,0,63.0,1995.0
2,h,900000,22/08/2016,6.5,3071,1,1.0,497,,
4,h,887500,29/07/2017,16.1,3088,2,2.0,737,,
3,h,1975000,17/06/2017,7.3,3102,2,4.0,677,,
2,u,693000,16/07/2016,7.8,3124,1,1.0,84,,
2,t,801000,25/02/2017,5.2,3056,2,1.0,156,87.0,2007.0
2,u,405000,7/5/16,11.2,3073,1,1.0,171,94.0,2009.0
2,u,600000,13/08/2016,5.2,3056,1,1.0,768,,1970.0
2,h,916000,24/09/2016,5.2,3056,1,0.0,1328,,1890.0
4,h,980000,26/08/2017,38.0,3199,2,2.0,937,191.0,1960.0
2,u,600000,29/07/2017,21.5,3195,1,1.0,0,,1967.0
3,h,721000,8/10/16,13.0,3046,1,2.0,674,,1976.0
4,t,2570000,12/11/16,10.7,3187,3,2.0,898,,
1,u,440000,6/5/17,4.6,3122,1,1.0,0,51.0,1960.0
2,u,725000,29/04/2017,13.0,3204,1,1.0,0,115.0,2006.0
